Order Number,Date Ordered,Date Due,Product Name,Product Code,Size,Color,Line Qty,Decoration Process,Unit Price,Line Total,Tax,Tax Exempt,Order Total,Order Shipping Total,PO Number,Supplier PO Number,Production Staff Account,Store Name,Company,Billing First Name,Billing Last Name,Billing Email Address,Billing Address,Billing City,Billing State,Billing Postcode/zip,Billing Phone No.,Shipping First Name,Shipping Last Name,Shipping Address,Shipping City,Shipping State,Shipping Postcode/zip,Shipping Phone No.,Shipping Method,Design Name,Design Price
INV00001,5/1/2024,5/5/2024,Sample T-Shirt A,TS001,"Small x 5, Medium x 10",Blue,15,Screen Print,12.00,180.00,14.40,No,194.40,0,,PO001,N/A,Sample Shop,Acme Inc.,John,Smith,john.smith@acme.com,123 Elm St,Springfield,IL,62704,217-555-1234,Jane,Smith,456 Oak St,Springfield,IL,62704,217-555-5678,In-Store Pickup,Design A,0
INV00002,5/1/2024,5/5/2024,Sample T-Shirt B,TS002,"Small x 10, Medium x 5",Red,10,Embroidery,15.00,150.00,12.00,No,162.00,0,,PO002,N/A,Sample Shop,Acme Inc.,Emily,Johnson,emily.johnson@acme.com,789 Maple Ave,Springfield,IL,62704,217-555-2345,Michael,Johnson,101 Birch Ave,Springfield,IL,62704,217-555-6789,In-Store Pickup,Design B,0
INV00003,5/2/2024,5/6/2024,Sample Hoodie C,HD003,"Medium x 8, Large x 12",Green,20,DTF,20.00,400.00,32.00,No,432.00,0,,PO003,N/A,Sample Shop,Acme Inc.,Anna,Williams,anna.williams@acme.com,102 Pine Blvd,Springfield,IL,62704,217-555-3456,Tom,Williams,103 Maple Blvd,Springfield,IL,62704,217-555-7890,In-Store Pickup,Design C,0
INV00004,5/3/2024,5/7/2024,Sample Hoodie D,HD004,"Large x 5, X Large x 5",Yellow,10,Screen Print,18.00,180.00,14.40,No,194.40,0,,PO004,N/A,Sample Shop,Acme Inc.,Mark,Anderson,mark.anderson@acme.com,104 Cedar St,Springfield,IL,62704,217-555-4567,Lisa,Anderson,105 Cedar St,Springfield,IL,62704,217-555-8901,In-Store Pickup,Design D,0
INV00005,5/4/2024,5/8/2024,Sample Polo E,PL005,"X Large x 10, 2X Large x 5",Black,15,Embroidery,22.00,330.00,26.40,No,356.40,0,,PO005,N/A,Sample Shop,Acme Inc.,James,Brown,james.brown@acme.com,106 Birch Rd,Springfield,IL,62704,217-555-5678,Susan,Brown,107 Birch Rd,Springfield,IL,62704,217-555-9012,In-Store Pickup,Design E,0
INV00006,5/5/2024,5/9/2024,Sample Polo F,PL006,"Medium x 5, Large x 5",White,10,DTF,25.00,250.00,20.00,No,270.00,0,,PO006,N/A,Sample Shop,Acme Inc.,Chris,Davis,chris.davis@acme.com,108 Maple Ave,Springfield,IL,62704,217-555-6789,Kelly,Davis,109 Maple Ave,Springfield,IL,62704,217-555-0123,In-Store Pickup,Design F,0
INV00007,5/6/2024,5/10/2024,Sample Sweatshirt G,SW007,"Small x 10, Medium x 10",Gray,20,Screen Print,14.00,280.00,22.40,No,302.40,0,,PO007,N/A,Sample Shop,Acme Inc.,Laura,Wilson,laura.wilson@acme.com,110 Pine Blvd,Springfield,IL,62704,217-555-7890,Mark,Wilson,111 Pine Blvd,Springfield,IL,62704,217-555-1234,In-Store Pickup,Design G,0
INV00008,5/7/2024,5/11/2024,Sample Sweatshirt H,SW008,"Large x 10, X Large x 10",Pink,15,Embroidery,19.00,285.00,22.80,No,307.80,0,,PO008,N/A,Sample Shop,Acme Inc.,Alice,Martinez,alice.martinez@acme.com,112 Cedar St,Springfield,IL,62704,217-555-8902,Steve,Martinez,113 Cedar St,Springfield,IL,62704,217-555-3456,In-Store Pickup,Design H,0
INV00009,5/8/2024,5/12/2024,Sample Jacket I,JK009,"X Large x 5, 2X Large x 5",Purple,10,DTF,21.00,210.00,16.80,No,226.80,0,,PO009,N/A,Sample Shop,Acme Inc.,Olivia,Clark,olivia.clark@acme.com,114 Oak Ave,Springfield,IL,62704,217-555-9013,Robert,Clark,115 Oak Ave,Springfield,IL,62704,217-555-2345,In-Store Pickup,Design I,0
INV00010,5/9/2024,5/13/2024,Sample Jacket J,JK010,"Medium x 10, Large x 10",Orange,20,Screen Print,16.00,320.00,25.60,No,345.60,0,,PO010,N/A,Sample Shop,Acme Inc.,Daniel,Roberts,daniel.roberts@acme.com,116 Pine Blvd,Springfield,IL,62704,217-555-0124,Monica,Roberts,117 Pine Blvd,Springfield,IL,62704,217-555-5678,In-Store Pickup,Design J,0
