Order Number,Date Ordered,Date Due,Product Name,Product Code,Size,Color,Line Qty,Decoration Process,Unit Price,Line Total,Tax,Tax Exempt,Order Total,Order Shipping Total,PO Number,Supplier PO Number,Production Staff Account,Store Name,Company,Billing First Name,Billing Last Name,Billing Email Address,Billing Address,Billing City,Billing State,Billing Postcode/zip,Billing Phone No.,Shipping First Name,Shipping Last Name,Shipping Address,Shipping City,Shipping State,Shipping Postcode/zip,Shipping Phone No.,Shipping Method,Design Name,Design Price
360727,5/2/2024,5/6/2024,PosiCharge ® Competitor™ Tee,ST350,"Small x 10, Medium x 25, Large x 25, X Large x 20",Atomic Blue ,80,DTF,14.99,1199.2,98.93,No,1406.38,0,,TX13362,N/A,Amazon LLC,Customer Company,Kardinal,Last Names,customer@email.com,Custom Billing Address,Austin,Texas,12345,123-456-7895,Kardinal Maris,Last Names,123 customer adreess,Austin,Texas,12345,123-456-7894,In-Store Customer Pickup,Untitled 1,0
360727,5/2/2024,5/6/2024,In-Store Customer Pickup,SHIPPING FEE,,,1,,0,0,0,No,1406.38,0,,TX13362,N/A,Amazon LLC,Customer Company,Kardinal,Last Names,customer@email.com,Custom Billing Address,Austin,Texas,12345,123-456-7896,Kardinal Maris,Last Names,124 customer adreess,Austin,Texas,12345,123-456-7895,In-Store Customer Pickup,N/A,N/A
360727,5/2/2024,5/6/2024,4-5 Days Rush,RUSH ORDER FEE,,,1,,100,100,8.25,No,1406.38,0,,TX13362,N/A,Amazon LLC,Customer Company,Kardinal,Last Names,customer@email.com,Custom Billing Address,Austin,Texas,12345,123-456-7897,Kardinal Maris,Last Names,125 customer adreess,Austin,Texas,12345,123-456-7896,In-Store Customer Pickup,N/A,N/A
360728,5/2/2024,5/7/2024,Ladies' Relaxed Jersey Short-Sleeve T-Shirt,B6400,"Small x 5, Medium x 26, Large x 27, X Large x 3, 2X Large x 9",Berry ,70,"SCR,SCR",13.66,956.2,78.89,No,1388.98,0,,"TX13365, TX13366",N/A,Amazon LLC,Customer Company,Susanna,Last Names,customer@email.com,Custom Billing Address,Austin,Texas,12345,123-456-7898,Susanna Vazquez,Last Names,126 customer adreess,Austin,Texas,12345,123-456-7897,In-Store Customer Pickup,"MADRE MOM 2024, MADRE MOM 2024",0
360728,5/2/2024,5/7/2024,Unisex Poly-Cotton Short-Sleeve T-Shirt,3650,"Small x 1, Medium x 3, Large x 9, X Large x 6, 2X Large x 3",Black ,22,"SCR,SCR",14.86,326.92,26.97,No,1388.98,0,,"TX13365, TX13366",N/A,Amazon LLC,Customer Company,Susanna,Last Names,customer@email.com,Custom Billing Address,Austin,Texas,12345,123-456-7899,Susanna Vazquez,Last Names,127 customer adreess,Austin,Texas,12345,123-456-7898,In-Store Customer Pickup,,0
360728,5/2/2024,5/7/2024,In-Store Customer Pickup,SHIPPING FEE,,,1,,0,0,0,No,1388.98,0,,"TX13365, TX13366",N/A,Amazon LLC,Customer Company,Susanna,Last Names,customer@email.com,Custom Billing Address,Austin,Texas,12345,123-456-7900,Susanna Vazquez,Last Names,128 customer adreess,Austin,Texas,12345,123-456-7899,In-Store Customer Pickup,N/A,N/A
360729,5/2/2024,5/11/2024,"22"" x 36"" DTF Transfer",DTF,,DTF Clear Film ,1,DTF,37.5,26.25,0,No,885,0,,,N/A,Amazon LLC,Customer Company,Diego,Last Names,customer@email.com,Custom Billing Address,Austin,Texas,12345,123-456-7901,Diego,Last Names,129 customer adreess,Austin,Texas,12345,123-456-7900,In-Store Customer Pickup,SC 22 X 36 DTF1   1 PAGE,0
360729,5/2/2024,5/11/2024,"22"" x 36"" DTF Transfer",DTF,,DTF Clear Film ,32,DTF,37.5,780,0,No,885,0,,,N/A,Amazon LLC,Customer Company,Diego,Last Names,customer@email.com,Custom Billing Address,Austin,Texas,12345,123-456-7902,Diego,Last Names,130 customer adreess,Austin,Texas,12345,123-456-7901,In-Store Customer Pickup,SC 22 X 36 DTF3   3 PAGES,0
360729,5/2/2024,5/11/2024,"22"" x 36"" DTF Transfer",DTF,,DTF Clear Film ,3,DTF,37.5,78.75,0,No,885,0,,,N/A,Amazon LLC,Customer Company,Diego,Last Names,customer@email.com,Custom Billing Address,Austin,Texas,12345,123-456-7903,Diego,Last Names,131 customer adreess,Austin,Texas,12345,123-456-7902,In-Store Customer Pickup,SC 22 X 36 DTF3   3 PAGES,0
360729,5/2/2024,5/11/2024,In-Store Customer Pickup,SHIPPING FEE,,,1,,0,0,0,Yes,885,0,,,N/A,Amazon LLC,Customer Company,Diego,Last Names,customer@email.com,Custom Billing Address,Austin,Texas,12345,123-456-7904,Diego,Last Names,132 customer adreess,Austin,Texas,12345,123-456-7903,In-Store Customer Pickup,N/A,N/A
